area,latitude,longitude
"Uttara",23.865,90.379
"Abdullahpur",23.878,90.397
"Dakshinkhan",23.872,90.42
"Uttarkhan",23.882,90.405
"Turag",23.856,90.352
"Mirpur",23.806,90.366
"Pallabi",23.825,90.365
"Kafrul",23.8,90.38
"Cantonment",23.825,90.395
"Mohammadpur",23.765,90.359
"Kamrangirchar",23.715,90.372
"Hazaribagh",23.735,90.37
"Dhanmondi",23.746,90.376
"Tejgaon",23.762,90.398
"Gulshan",23.792,90.415
"Banani",23.794,90.402
"Badda",23.78,90.426
"Bashundhara",23.81,90.428
"Rampura",23.76,90.42
"Khilgaon",23.75,90.425
"Motijheel",23.727,90.417
"Lalbagh / Old Dhaka",23.718,90.388
"Jatrabari",23.71,90.435
"Shyampur",23.698,90.435
